Delta_t Tiempo_acumulado #Autos
19.0328 576.527 106
27.5522 604.079 107
0.584968 604.664 108
20.1321 624.796 109
14.309 639.105 110
3.5199 642.625 111
2.23472 644.86 112
5.64711 650.507 113
3.01264 653.52 114
5.22888 658.749 115
17.0455 675.794 116
3.67518 679.469 117
6.07641 685.546 118
2.38694 687.933 119
9.58479 697.517 120
1.14849 698.666 121
1.24467 699.911 122
4.49052 704.401 123
1.61464 706.016 124
9.22001 715.236 125
4.69793 719.934 126
3.61914 723.553 127
3.94374 727.497 128
2.42739 729.924 129
14.4965 744.42 130
1.05115 745.472 131
5.05742 750.529 132
3.78705 754.316 133
3.12085 757.437 134
2.43429 759.871 135
12.4168 772.288 136
6.85154 779.14 137
2.81888 781.958 138
2.28885 784.247 139
3.40428 787.652 140
1.73647 789.388 141
3.67879 793.067 142
2.61434 795.681 143
6.23488 801.916 144
11.3249 813.241 145
2.67445 815.915 146
2.75559 818.671 147
1.16314 819.834 148
1.44747 821.282 149
7.08339 828.365 150
4.82427 833.189 151
1.87583 835.065 152
1.91128 836.976 153
13.7578 850.734 154
5.73266 856.467 155
9.11921 865.586 156
8.23143 873.817 157
2.73544 876.553 158
8.27384 884.827 159
9.59042 894.417 160
1.90613 896.323 161
0.317655 896.641 162
2.82893 899.47 163
5.09942 904.569 164
2.40225 906.971 165
5.83182 912.803 166
3.70857 916.512 167
1.36685 917.879 168
0.632723 918.511 169
2.68937 921.201 170
4.29277 925.494 171
1.44338 926.937 172
8.03356 934.971 173
4.29691 939.267 174
5.71351 944.981 175
5.10912 950.09 176
3.81643 953.906 177
2.00858 955.915 178
2.43407 958.349 179
0.816784 959.166 180
3.08958 962.255 181
1.86831 964.124 182
2.57462 966.698 183
9.37677 976.075 184
3.97937 980.055 185
2.09638 982.151 186
3.36158 985.513 187
3.74628 989.259 188
0.738565 989.997 189
11.2141 1001.21 190
3.11805 1004.33 191
3.86575 1008.2 192
2.7302 1010.93 193
3.58456 1014.51 194
1.75993 1016.27 195
7.40117 1023.67 196
2.42565 1026.1 197
2.34053 1028.44 198
12.5016 1040.94 199
3.38094 1044.32 200
9.1172 1053.44 201
1.01566 1054.45 202
2.6386 1057.09 203
5.30692 1062.4 204
7.59531 1069.99 205
3.8856 1073.88 206
3.75965 1077.64 207
2.63997 1080.28 208
5.03232 1085.31 209
1.1957 1086.51 210
5.15485 1091.66 211
2.67719 1094.34 212
11.7464 1106.09 213
3.37415 1109.46 214
4.95433 1114.41 215
2.74873 1117.16 216
31.8801 1149.04 217
2.72536 1151.77 218
4.8168 1156.58 219
2.4133 1159 220
3.24907 1162.25 221
5.22424 1167.47 222
3.76484 1171.24 223
1.45044 1172.69 224
7.28378 1179.97 225
4.8806 1184.85 226
2.36892 1187.22 227
1.64029 1188.86 228
8.77346 1197.63 229
3.00639 1200.64 230
6.55913 1207.2 231
1.62863 1208.83 232
9.68032 1218.51 233
1.34611 1219.85 234
4.35875 1224.21 235
2.00947 1226.22 236
1.17871 1227.4 237
6.39955 1233.8 238
7.63849 1241.44 239
4.26065 1245.7 240
2.62413 1248.32 241
1.24201 1249.57 242
4.70823 1254.27 243
5.04204 1259.32 244
2.635 1261.95 245
5.31198 1267.26 246
1.87449 1269.14 247
0.57787 1269.72 248
1.87674 1271.59 249
1.95073 1273.54 250
11.6108 1285.15 251
5.5646 1290.72 252
12.1151 1302.83 253
2.54242 1305.38 254
10.2076 1315.58 255
1.59971 1317.18 256
14.6361 1331.82 257
2.23093 1334.05 258
5.2915 1339.34 259
0.942882 1340.28 260
0.176341 1340.46 261
1.1908 1341.65 262
1.18655 1342.84 263
2.14229 1344.98 264
3.07514 1348.06 265
6.99957 1355.06 266
5.59565 1360.65 267
0.383114 1361.03 268
8.82547 1369.86 269
3.19093 1373.05 270
2.78378 1375.83 271
5.80146 1381.64 272
2.98738 1384.62 273
4.57484 1389.2 274
1.09857 1390.3 275
3.95692 1394.25 276
2.66876 1396.92 277
2.39041 1399.31 278
1.04805 1400.36 279
2.02574 1402.39 280
5.13553 1407.52 281
1.52031 1409.04 282
4.39326 1413.44 283
3.12066 1416.56 284
4.48742 1421.04 285
1.29049 1422.33 286
5.84091 1428.18 287
0.587725 1428.76 288
2.95148 1431.71 289
1.00367 1432.72 290
1.53149 1434.25 291
16.678 1450.93 292
12.0676 1463 293
3.08872 1466.08 294
8.12972 1474.21 295
23.848 1498.06 296
2.32365 1500.39 297
2.07141 1502.46 298
1.52797 1503.98 299
13.6251 1517.61 300
2.24213 1519.85 301
1.07834 1520.93 302
7.88547 1528.82 303
3.04246 1531.86 304
4.35468 1536.21 305
9.74543 1545.96 306
3.64649 1549.6 307
3.46678 1553.07 308
1.45163 1554.52 309
8.81864 1563.34 310
5.14601 1568.49 311
1.29504 1569.78 312
4.27542 1574.06 313
8.84885 1582.91 314
13.3805 1596.29 315
1.75486 1598.04 316
11.1098 1609.15 317
1.20643 1610.36 318
2.83784 1613.2 319
2.06684 1615.26 320
3.53913 1618.8 321
2.64988 1621.45 322
4.5023 1625.95 323
6.81435 1632.77 324
8.02647 1640.8 325
0.86215 1641.66 326
1.22571 1642.88 327
4.43232 1647.32 328
5.57771 1652.89 329
2.68833 1655.58 330
18.1462 1673.73 331
2.63172 1676.36 332
4.1544 1680.51 333
11.6792 1692.19 334
17.2013 1709.39 335
11.132 1720.53 336
3.10069 1723.63 337
4.65495 1728.28 338
2.20823 1730.49 339
3.64721 1734.14 340
5.78996 1739.93 341
2.1919 1742.12 342
2.72776 1744.85 343
1.26632 1746.11 344
7.85126 1753.96 345
4.24523 1758.21 346
17.1266 1775.34 347
4.69255 1780.03 348
16.0756 1796.1 349
3.03865 1799.14 350
2.7948 1801.94 351
1.06901 1803.01 352
9.08012 1812.09 353
3.74514 1815.83 354
1.98513 1817.82 355
9.92593 1827.74 356
1.98357 1829.73 357
1.2141 1830.94 358
10.7183 1841.66 359
3.39635 1845.06 360
3.18493 1848.24 361
2.31535 1850.56 362
8.02829 1858.58 363
3.54441 1862.13 364
14.7357 1876.86 365
19.0659 1895.93 366
8.13967 1904.07 367
10.0051 1914.08 368
3.15918 1917.23 369
8.12387 1925.36 370
2.70301 1928.06 371
1.45523 1929.52 372
5.15752 1934.67 373
29.6142 1964.29 374
0.888994 1965.18 375
10.2524 1975.43 376
1.84456 1977.27 377
0.882864 1978.16 378
13.0353 1991.19 379
2.34325 1993.54 380
2.94446 1996.48 381
6.17402 2002.65 382
1.37433 2004.03 383
13.3708 2017.4 384
2.1952 2019.59 385
4.3779 2023.97 386
1.63787 2025.61 387
6.89585 2032.51 388
2.65746 2035.16 389
1.77457 2036.94 390
1.73103 2038.67 391
0.943752 2039.61 392
1.88772 2041.5 393
6.63377 2048.13 394
1.80152 2049.94 395
6.09262 2056.03 396
2.39874 2058.43 397
0.75022 2059.18 398
7.0937 2066.27 399
0.545441 2066.82 400
2.67716 2069.49 401
2.04761 2071.54 402
4.45982 2076 403
1.40137 2077.4 404
2.57136 2079.97 405
5.60877 2085.58 406
25.5484 2111.13 407
2.62871 2113.76 408
4.48861 2118.25 409
2.94709 2121.2 410
4.55146 2125.75 411
5.10834 2130.86 412
2.18236 2133.04 413
8.11989 2141.16 414
2.31533 2143.47 415
2.46576 2145.94 416
3.39259 2149.33 417
5.05422 2154.39 418
2.57302 2156.96 419
7.01197 2163.97 420
2.01096 2165.98 421
1.72908 2167.71 422
4.76635 2172.48 423
1.00887 2173.49 424
4.06537 2177.55 425
0.526488 2178.08 426
14.5834 2192.66 427
4.89949 2197.56 428
2.70001 2200.26 429
0.434644 2200.69 430
2.13601 2202.83 431
5.21374 2208.04 432
4.0456 2212.09 433
1.78853 2213.88 434
12.9769 2226.86 435
4.37693 2231.23 436
8.402 2239.63 437
4.93413 2244.57 438
3.84213 2248.41 439
35.2593 2283.67 440
9.50292 2293.17 441
1.02881 2294.2 442
1.65311 2295.86 443
5.01505 2300.87 444
1.23389 2302.1 445
0.601846 2302.71 446
5.26372 2307.97 447
5.90056 2313.87 448
5.99865 2319.87 449
15.1055 2334.97 450
4.65666 2339.63 451
2.80715 2342.44 452
2.62856 2345.07 453
4.13704 2349.2 454
4.65507 2353.86 455
8.78648 2362.65 456
4.92654 2367.57 457
1.99186 2369.56 458
2.71483 2372.28 459
1.49033 2373.77 460
6.76708 2380.54 461
3.37714 2383.91 462
6.23889 2390.15 463
5.74562 2395.9 464
2.28833 2398.19 465
0.88034 2399.07 466
4.60481 2403.67 467
1.52245 2405.19 468
4.0118 2409.21 469
19.6848 2428.89 470
1.79188 2430.68 471
5.53089 2436.21 472
3.85493 2440.07 473
36.0657 2476.13 474
7.68448 2483.82 475
20.0075 2503.83 476
6.34136 2510.17 477
3.06767 2513.23 478
3.41976 2516.65 479
1.41781 2518.07 480
3.04247 2521.11 481
2.53623 2523.65 482
1.47442 2525.13 483
2.04822 2527.17 484
2.62384 2529.8 485
1.73264 2531.53 486
1.19237 2532.72 487
0.807341 2533.53 488
41.3867 2574.92 489
2.18919 2577.11 490
3.77767 2580.88 491
1.40992 2582.29 492
1.4935 2583.79 493
2.12823 2585.91 494
1.8351 2587.75 495
15.7962 2603.55 496
3.83333 2607.38 497
3.90935 2611.29 498
2.51725 2613.81 499
1.11313 2614.92 500
12.674 2627.59 501
1.42951 2629.02 502
1.39794 2630.42 503
6.41926 2636.84 504
8.6189 2645.46 505
3.88644 2649.35 506
2.57705 2651.92 507
8.83802 2660.76 508
5.48348 2666.24 509
5.04609 2671.29 510
2.15712 2673.45 511
2.77061 2676.22 512
4.10577 2680.32 513
2.89025 2683.21 514
7.56784 2690.78 515
1.8101 2692.59 516
3.68782 2696.28 517
3.83208 2700.11 518
2.75096 2702.86 519
3.41799 2706.28 520
0.564283 2706.84 521
4.13639 2710.98 522
17.1309 2728.11 523
0.959246 2729.07 524
5.85011 2734.92 525
1.14897 2736.07 526
20.3322 2756.4 527
5.89078 2762.29 528
1.59873 2763.89 529
1.72927 2765.62 530
5.43168 2771.05 531
0.364147 2771.42 532
4.35119 2775.77 533
1.88625 2777.65 534
7.46846 2785.12 535
5.80864 2790.93 536
19.8423 2810.77 537
2.02564 2812.8 538
2.07688 2814.88 539
3.32013 2818.2 540
7.83426 2826.03 541
8.79325 2834.82 542
6.29227 2841.12 543
15.0243 2856.14 544
1.12744 2857.27 545
3.64039 2860.91 546
1.87815 2862.79 547
9.39856 2872.19 548
1.63056 2873.82 549
4.69733 2878.51 550
8.04029 2886.55 551
8.71251 2895.27 552
6.29342 2901.56 553
24.6852 2926.24 554
2.05828 2928.3 555
1.129 2929.43 556
4.32504 2933.76 557
0.908668 2934.67 558
51.4347 2986.1 559
0.645648 2986.75 560
26.3784 3013.12 561
2.0911 3015.22 562
37.9845 3053.2 563
4.60787 3057.81 564
6.86935 3064.68 565
10.4666 3075.14 566
2.53546 3077.68 567
2.18812 3079.87 568
1.85469 3081.72 569
15.3586 3097.08 570
6.27974 3103.36 571
13.1017 3116.46 572
3.56857 3120.03 573
4.71551 3124.75 574
7.19668 3131.94 575
4.98788 3136.93 576
8.81641 3145.75 577
36.8469 3182.59 578
4.17481 3186.77 579
3.9029 3190.67 580
5.88407 3196.56 581
0.635848 3197.19 582
3.15828 3200.35 583
1.85889 3202.21 584
2.16086 3204.37 585
4.17004 3208.54 586
4.39548 3212.94 587
0.816436 3213.75 588
5.50799 3219.26 589
2.23456 3221.49 590
4.20325 3225.7 591
5.31364 3231.01 592
12.7944 3243.81 593
15.9266 3259.73 594
2.48192 3262.21 595
7.96746 3270.18 596
2.75214 3272.93 597
3.90725 3276.84 598
3.26828 3280.11 599
0.82905 3280.94 600
5.25447 3286.19 601
4.38421 3290.58 602
1.12518 3291.7 603
7.01704 3298.72 604
2.27415 3300.99 605
9.70619 3310.7 606
5.89897 3316.6 607
2.18863 3318.79 608
0.0999199 3318.89 609
4.91126 3323.8 610
9.1991 3333 611
9.16245 3342.16 612
1.23815 3343.4 613
0.636703 3344.03 614
6.05359 3350.09 615
14.7566 3364.84 616
4.33809 3369.18 617
2.03177 3371.21 618
0.82392 3372.04 619
1.38517 3373.42 620
8.79797 3382.22 621
12.5903 3394.81 622
3.20341 3398.02 623
21.2481 3419.26 624
7.63597 3426.9 625
30.006 3456.91 626
2.25609 3459.16 627
13.5381 3472.7 628
1.34953 3474.05 629
2.7776 3476.83 630
1.05616 3477.88 631
3.05102 3480.93 632
11.9936 3492.93 633
2.68891 3495.62 634
1.31753 3496.93 635
5.84077 3502.77 636
0.549786 3503.32 637
0.345913 3503.67 638
4.13844 3507.81 639
2.11152 3509.92 640
4.69405 3514.61 641
5.21968 3519.83 642
2.97075 3522.8 643
17.8594 3540.66 644
7.16285 3547.83 645
2.19551 3550.02 646
1.55918 3551.58 647
1.82703 3553.41 648
0.884715 3554.29 649
2.6284 3556.92 650
2.42263 3559.34 651
4.36681 3563.71 652
10.98 3574.69 653
6.42017 3581.11 654
2.37484 3583.49 655
1.97963 3585.47 656
1.36307 3586.83 657
20.8618 3607.69 658
